hotel,price,score,reviews_count,review_text,free_cancellation
HM Ayron Park - Adults Only, 430,8.5,1309,very good,Free Cancellation
Casa Rural Senderismo, 428,9.2,153,wonderful,No Free Cancellation
Hotel Real Colegiata San Isidoro, 304,8.9,5624,excellent,Free Cancellation
FLEMING PLAYA PONIENTE, 187,7.9,2088,good,Free Cancellation
Hotel Noguera El Albir, 260,8.8,2447,excellent,Free Cancellation
Hotel Canal OlÃ­mpic, 295,7.8,1679,good,Free Cancellation
"Holiday Inn Express San Sebastian de los Reyes, an IHG Hotel", 496,8.2,4760,very good,No Free Cancellation
AR Roca Esmeralda & SPA Hotel, 324,7.8,1550,good,Free Cancellation
Hotel Spa Rio Ucero, 328,8,2663,very good,Free Cancellation
Apartamentos MÃ¡laga Premium - Calle San Telmo, 408,8.6,1443,excellent,No Free Cancellation
Hotel AtlÃ¡ntico, 723,9.2,3561,wonderful,Free Cancellation
La Casa de la Trinidad, 389,8.7,2488,excellent,No Free Cancellation
Hotel 1898, 669,9,4180,wonderful,No Free Cancellation
Casa rural Gerardo, 240,9.3,107,wonderful,Free Cancellation
Abril Nerja, 232,8.9,1195,excellent,No Free Cancellation
OLATZEA LANDA HOTELA, 280,9,202,wonderful,No Free Cancellation
AlquerÃ­a Calatrava B&B, 599,9.5,434,exceptional,Free Cancellation
La Casa del MÃ©dico Hotel Boutique, 360,9.2,246,wonderful,No Free Cancellation
La Casa del Cine en NÃ­jar, 245,8.8,52,excellent,Free Cancellation
Lushville - Luxurious Villa with Pool in Valencia, 376,8.6,77,excellent,No Free Cancellation
Tandem Soho Suites, 456,9,2630,wonderful,Free Cancellation
Hospedium Hotel Retiro del Maestre, 329,9.2,716,wonderful,Free Cancellation
Alojamientos MirapeÃ±as, 323,9,165,wonderful,No Free Cancellation
Hostal Flat55Madrid, 284,8,786,very good,Free Cancellation
Catalonia Atocha, 600,8.7,5973,excellent,Free Cancellation
"Hortensia Suites Apartments ,Los Cristianos"," 1,016",9.3,307,wonderful,Free Cancellation
Catalonia Puerta del Sol, 640,9,2845,wonderful,Free Cancellation
Eco Finca Sa Font Blava, 750,9.1,40,wonderful,Free Cancellation
Sercotel Amister Art Hotel Barcelona, 350,8.1,2419,very good,No Free Cancellation
Cuencaloft paseo del Huecar, 370,8.9,146,excellent,No Free Cancellation
Protur Naisa Palma Hotel, 594,9,4648,wonderful,No Free Cancellation
Hotel Playa Sur Tenerife, 855,8.3,1266,very good,Free Cancellation
Arte Vida, 340,8.3,672,very good,No Free Cancellation
Sol Arona Tenerife, 735,7.2,4915,good,No Free Cancellation
Mallorca Boutique Hotel, 347,7.9,1393,good,No Free Cancellation
Apartamentos TurÃ­sticos Casa de La Borrega, 361,8.6,639,excellent,Free Cancellation
Casa, 284,8.8,29,excellent,Free Cancellation
Futurotel Sevilla, 146,7.6,1295,good,No Free Cancellation
Hotel Nayra - Adults Only, 695,9.3,884,wonderful,No Free Cancellation
Sierra de Gudar, 384,8.9,300,excellent,Free Cancellation
Granaxperience Apartamentos La Maleta, 422,8.8,1240,excellent,No Free Cancellation
Casa Rural La Fuensanta, 378,8.4,362,very good,No Free Cancellation
